Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
2.812246833333333, 0, 1, 0, 1, 1, 1, 1, 1
2.812297750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.812297833333333, 0, 0, 1, 1, 1, 1, 1, 1
2.812375750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.812376833333333, 0, 1, 0, 1, 1, 1, 1, 1
2.812453750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.812453833333334, 0, 0, 1, 1, 1, 1, 1, 1
2.812661750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.812662833333333, 0, 1, 0, 1, 1, 1, 1, 1
2.812739750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.812739833333334, 0, 0, 1, 1, 1, 1, 1, 1
2.812817750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.812818833333333, 0, 1, 0, 1, 1, 1, 1, 1
2.812843750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.812843833333333, 0, 0, 1, 1, 1, 1, 1, 1
2.812869750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.812870833333334, 0, 1, 0, 1, 1, 1, 1, 1
2.812921750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.812921833333334, 0, 0, 1, 1, 1, 1, 1, 1
2.812947750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.812948833333333, 0, 1, 0, 1, 1, 1, 1, 1
2.813025750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.813025833333334, 0, 0, 1, 1, 1, 1, 1, 1
2.813051750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.813052833333333, 0, 1, 0, 1, 1, 1, 1, 1
2.813155833333334, 0, 0, 1, 1, 1, 1, 1, 1
2.813259833333333, 0, 1, 1, 1, 1, 1, 1, 1
2.813260833333334, 0, 1, 0, 1, 1, 1, 1, 1
2.815458416666667, 0, 1, 1, 1, 1, 1, 1, 1
2.815458500000000, 0, 0, 1, 1, 1, 1, 1, 1
2.815484083333334, 0, 1, 1, 1, 1, 1, 1, 1
2.815485083333333, 0, 1, 0, 1, 1, 1, 1, 1
2.815509666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.815509750000000, 0, 0, 1, 1, 1, 1, 1, 1
